No,Date,Time,ColdJunc0,TEMP,Humidity,Rainfall,Bar_press.
92793,01/10/2021,00:00:00,22,82,39,0,1000
92794,01/10/2021,00:10:00,22,84,9,0,1000
92795,01/10/2021,00:20:00,22,81,99,0,1000
92796,01/10/2021,00:30:00,22,84,29,0,1000
92797,01/10/2021,00:40:00,22,87,9,0,999
92798,01/10/2021,00:50:00,22,89,4,0,999
92799,01/10/2021,01:00:00,22,90,2,0,999
92800,01/10/2021,01:10:00,22,91,1,0,999
92801,01/10/2021,01:20:00,22,92,6,0,999
92802,01/10/2021,01:30:00,21,93,6,0,999
92803,01/10/2021,01:40:00,21,93,5,0,998
92804,01/10/2021,01:50:00,21,94,21,0,999
92805,01/10/2021,02:00:00,21,94,5,0,998
92806,01/10/2021,02:10:00,21,94,9,0,998
92807,01/10/2021,02:20:00,21,95,21,0,999
92808,01/10/2021,02:30:00,21,95,6,0,998
92809,01/10/2021,02:40:00,21,95,6,0,998
92810,01/10/2021,02:50:00,21,95,1,0,998
92811,01/10/2021,03:00:00,20,95,4,0,998
92812,01/10/2021,03:10:00,20,95,6,0,998
92813,01/10/2021,03:20:00,20,96,0,0,998
92814,01/10/2021,03:30:00,20,95,7,0,998
92815,01/10/2021,03:40:00,20,95,6,0,998
92816,01/10/2021,03:50:00,20,95,8,0,998
92817,01/10/2021,04:00:00,20,96,1,0,998
92818,01/10/2021,04:10:00,20,96,1,0,998
92819,01/10/2021,04:20:00,20,96,0,0,998
92820,01/10/2021,04:30:00,20,96,1,0,999
92821,01/10/2021,04:40:00,20,96,1,0,999
92822,01/10/2021,04:50:00,20,96,2,0,999
92823,01/10/2021,05:00:00,20,96,1,0,999
92824,01/10/2021,05:10:00,20,96,0,0,999
92825,01/10/2021,05:20:00,20,95,9,0,999
92826,01/10/2021,05:30:00,20,95,7,0,1000
92827,01/10/2021,05:40:00,20,95,7,0,1000
92828,01/10/2021,05:50:00,20,95,6,0,1000
92829,01/10/2021,06:00:00,20,95,5,0,1000
92830,01/10/2021,06:10:00,20,95,6,0,1000
92831,01/10/2021,06:20:00,20,95,5,0,1000
92832,01/10/2021,06:30:00,20,95,2,0,1000
92833,01/10/2021,06:40:00,20,94,5,0,1000
92834,01/10/2021,06:50:00,20,93,0,0,1001
92835,01/10/2021,07:00:00,21,90,5,0,1001
92836,01/10/2021,07:10:00,22,88,3,0,1001
92837,01/10/2021,07:20:00,23,84,49,0,1001
92838,01/10/2021,07:30:00,24,80,19,0,1001
92839,01/10/2021,07:40:00,25,76,88,0,1001
92840,01/10/2021,07:50:00,27,76,88,0,1001
92841,01/10/2021,08:00:00,28,73,88,0,1001
92842,01/10/2021,08:10:00,29,75,18,0,1001
92843,01/10/2021,08:20:00,30,70,27,0,1001
92844,01/10/2021,08:30:00,31,71,88,0,1001
92845,01/10/2021,08:40:00,32,71,18,0,1001
92846,01/10/2021,08:50:00,32,69,98,0,1001
92847,01/10/2021,09:00:00,33,68,87,0,1001
92848,01/10/2021,09:10:00,33,69,47,0,1001
92849,01/10/2021,09:20:00,33,66,27,0,1001
92850,01/10/2021,09:30:00,34,65,57,0,1001
92851,01/10/2021,09:40:00,34,64,67,0,1001
92852,01/10/2021,09:50:00,34,65,17,0,1001
92853,01/10/2021,10:00:00,35,63,26,0,1001
92854,01/10/2021,10:10:00,35,64,86,0,1001
92855,01/10/2021,10:20:00,35,63,66,0,1001
92856,01/10/2021,10:30:00,35,62,37,0,1001
92857,01/10/2021,10:40:00,35,62,46,0,1001
92858,01/10/2021,10:50:00,35,59,86,0,1000
92859,01/10/2021,11:00:00,35,57,56,0,1000
92860,01/10/2021,11:10:00,36,56,15,0,1000
92861,01/10/2021,11:20:00,36,55,95,0,1000
92862,01/10/2021,11:30:00,37,58,26,0,1000
92863,01/10/2021,11:40:00,37,54,35,0,1000
92864,01/10/2021,11:50:00,37,56,25,0,1000
92865,01/10/2021,12:00:00,37,57,36,0,999
92866,01/10/2021,12:10:00,37,57,76,0,999
92867,01/10/2021,12:20:00,37,58,6,0,999
92868,01/10/2021,12:30:00,36,58,36,0,998
92869,01/10/2021,12:40:00,36,58,36,0,998
92870,01/10/2021,12:50:00,36,56,66,0,998
92871,01/10/2021,13:00:00,36,56,45,0,998
92872,01/10/2021,13:10:00,36,56,15,0,998
92873,01/10/2021,13:20:00,37,54,45,0,998
92874,01/10/2021,13:30:00,37,53,85,0,997
92875,01/10/2021,13:40:00,38,53,5,0,997
92876,01/10/2021,13:50:00,38,51,85,0,997
92877,01/10/2021,14:00:00,38,53,85,0,997
92878,01/10/2021,14:10:00,38,55,76,0,996
92879,01/10/2021,14:20:00,39,52,95,0,996
92880,01/10/2021,14:30:00,39,51,44,0,996
92881,01/10/2021,14:40:00,39,51,24,0,996
92882,01/10/2021,14:50:00,39,51,54,0,996
92883,01/10/2021,15:00:00,39,50,74,0,996
92884,01/10/2021,15:10:00,40,50,24,0,996
92885,01/10/2021,15:20:00,39,53,85,0,996
92886,01/10/2021,15:30:00,38,56,25,0,996
92887,01/10/2021,15:40:00,37,55,65,0,996
92888,01/10/2021,15:50:00,36,56,45,0,996
92889,01/10/2021,16:00:00,35,58,6,0,996
92890,01/10/2021,16:10:00,35,59,26,0,996
92891,01/10/2021,16:20:00,34,61,56,0,996
92892,01/10/2021,16:30:00,33,63,26,0,996
92893,01/10/2021,16:40:00,33,64,36,0,996
92894,01/10/2021,16:50:00,32,65,47,0,996
92895,01/10/2021,17:00:00,32,65,37,0,996
92896,01/10/2021,17:10:00,31,66,7,0,996
92897,01/10/2021,17:20:00,31,66,97,0,996
92898,01/10/2021,17:30:00,30,67,47,0,997
92899,01/10/2021,17:40:00,30,67,26,0,997
92900,01/10/2021,17:50:00,30,68,97,0,997
92901,01/10/2021,18:00:00,29,68,57,0,997
92902,01/10/2021,18:10:00,29,69,37,0,997
92903,01/10/2021,18:20:00,28,71,67,0,997
92904,01/10/2021,18:30:00,28,73,8,0,997
92905,01/10/2021,18:40:00,28,72,58,0,997
92906,01/10/2021,18:50:00,27,71,78,0,997
92907,01/10/2021,19:00:00,27,71,78,0,998
92908,01/10/2021,19:10:00,27,72,78,0,998
92909,01/10/2021,19:20:00,27,72,78,0,998
92910,01/10/2021,19:30:00,26,73,28,0,998
92911,01/10/2021,19:40:00,26,74,98,0,998
92912,01/10/2021,19:50:00,26,76,28,0,998
92913,01/10/2021,20:00:00,25,77,58,0,998
92914,01/10/2021,20:10:00,25,78,48,0,998
92915,01/10/2021,20:20:00,25,79,68,0,998
92916,01/10/2021,20:30:00,24,80,69,0,999
92917,01/10/2021,20:40:00,24,82,79,0,999
92918,01/10/2021,20:50:00,24,83,39,0,999
92919,01/10/2021,21:00:00,23,84,9,0,999
92920,01/10/2021,21:10:00,23,84,79,0,999
92921,01/10/2021,21:20:00,23,85,89,0,999
92922,01/10/2021,21:30:00,23,86,8,0,999
92923,01/10/2021,21:40:00,23,87,6,0,1000
92924,01/10/2021,21:50:00,22,88,6,0,1000
92925,01/10/2021,22:00:00,22,89,1,0,1000
92926,01/10/2021,22:10:00,22,89,6,0,1000
92927,01/10/2021,22:20:00,22,90,4,0,1000
92928,01/10/2021,22:30:00,22,90,7,0,1000
92929,01/10/2021,22:40:00,22,91,2,0,1000
92930,01/10/2021,22:50:00,21,91,7,0,1000
92931,01/10/2021,23:00:00,21,91,8,0,1000
92932,01/10/2021,23:10:00,21,92,0,0,1000
92933,01/10/2021,23:20:00,21,91,6,0,1001
92934,01/10/2021,23:30:00,21,92,7,0,1000
92935,01/10/2021,23:40:00,21,93,1,0,1000
92936,01/10/2021,23:50:00,21,93,5,0,1001
